urlDrugName,highly_effective,benefitsReview
synthroid,Effective,"i have mild hypothyroidism, so i wasn't necessarily aware of what having an underfunctioning was doing to my body.  still, i was able to detect changes (for the better) after taking synthroid for a few months.  the primary benefit i aw was HIGHLY HIGHLY improved concentration, which has made school/work such a pleasure.  i think my metabloism also improved slightly."
minocycline,Effective,face cleared up conciderably. It took about 2 months for the drug to become conciderably effective though.
zantac,Effective,"Reduce a lot the heartburn feeling, and after a week treatment no more heartburn where visible. Every other meal i was taken produced a lot of acid juices in my stomach, after that treatment this never happen."
prevacid,Effective,"Feels like it stops nearly all acid production, heartburn is gone.  Due to cardia weakness stomach contents can still travel up esophagus but no burning sensation is felt.  Regardless there is still some mild irritation in my esophagus."
tirosint,Not Effective,cold not discern because there was no clinical symptom other than tsh leel was low.the lab test result indicate improvement in tsh level but the doctor did not increase the dosage of the drug.
imitrex,Effective,"I was able to completely stop a migraine from happening once I felt one starting.  This has been extremely beneficial to me.  I have gotten my life back.  I would have 1-2 migraines a week which would put me in bed for 2 days.  I would take pain killers, which only knocked me out, doing nothing to alleviate the pain.  I was missing a large part of my life, being in bed.  Also I never knew when I would have to cancel plans or stay home from work due to a migraine.  I felt very unreliable, which is not me.  I am a very responsible person."
prempro,Effective,"Migraine problem: I now only have rare occurance of migraines, less than once a year.  Before Prepro treatment I had a migraines almost continuously, and took Frova at least twice a week. Potential benefits is prevention or delay of osteoporosis, since my mother had severe osteoporsis."
lexapro,Not Effective,"I sought treatment for two problems in my life: my temper with my daughter and my lack of motivation.  This drug really helped me to control my temper.  In fact, the temper became nonexistent.  I used to yell a lot and stopped completely within two weeks of being on this medication.  However, this was the only benefit I experienced."
zantac,Effective,"nearly instant pain relief , extremely efficace"
spironolactone,Not Effective,Hair loss. Helps hair follicles become less sensitive to protestosterone.
lipitor,Not Effective,My cholesterol was lowered by about 15 points. I did not seem to do anything else nor was it supposed to.
omnicef,Effective,The treatment cured the sore throat for which it was perscribed.
tazorac,Not Effective,"the treatment benefits for the cream Tazorac were improved skin tone, appearance of reduced wrinkles on forehead, undereye area, upper lip and nose. The skin felt softer and pimples were not prominent."
alendronate,Effective,Increased bone density by 11% first year.
vyvanse,Effective,Very good euphoria. More focused in school. Had a very very good feeling in torso area. I forget to eat sometimes and afterwards stomache hurts very  very bad. You do not realize that your hungry.
femring,Effective,"Do not experience hot flashes, night sweats, mood swings or insomnia due to menopause when using the Femring."
neurontin,Not Effective,"Well I just wanted to comment or get some incite on this medication. I was just proscribed this medication yesterday took first one before bed as doctor said and woke up this morning feeling like i had drank a case of beer i stumbled getting up out of bed then i felt like i was dying of thirst was just wondering how normal this was? Oh and i was very sleepy and unable to wake up till nearly noon i started to sober up. I have a 3yr old son that i stay home with so i need to be able to function. when i had spoke to my doctor about the problems i was having i told him that i did not want to be on anything strong i had previously been put on Vicodin, oxy-codone and flexeral i hated it i could not take care of my son i could not function im just trying to find a solution for my pain without being messed up.! See back in October of 2009 i fell backwards into a dresser corner while putting my sons clothes up in welkin closet had two possible fractures and two slipped disks was in a neck brace from oct-feb so please let me know if you have any idea what i can do my insurance will not cover physical therapy unfortunately ....."
soma,Effective,Minimized pain immediatley and made back injury seem non-existant
lipitor,Not Effective,"My overall cholesterol reduced to just over 4, but not LDL which still remained high within that total. This in my opinion is due to my thyroid condition."
tylenol,Not Effective,Little if any relief from headache.
ultram,Not Effective,"I found for me it was great for pain relief. Also, unlike some of the anti-inflammatory drugs I had taken in the past, I was not drowsy or sluggish during the day and I felt as if I could function normally."
ultram-er,Not Effective,"I was not able to ascertain any benefits from being treated with this medication.  Its purpose was pain relief, and I did not experience any alleviation of my pain."
viagra,Not Effective,Viagra did help me in acheiving an erection after prostrate surgery. Other methods that were offered were not as attractive at the 3 times daily dosage of Viagra.
seasonale,Effective,"While taking this method of birth control, my period only came once every three months. It was much lighter than before and only lasted 3 days instead of 6, which was normal before. I didn't experience any bloating. It's a very cost-effective method compared to three-month supply of normal 28 day cycle pills."
wellbutrin-sr,Not Effective,"decreased appetite, help to stop abusing alcohol"
lipitor,Not Effective,I didn't take the product long enough to evaluate the benefits. I quit because of side effects.
ambien-cr,Effective,The benefits from the ambien CR were phenominal when trying to fall asleep. It worked very well.
accutane,Effective,Finally clear skin and less oil!  Prior to accutane I HAD to wash my hair daily it was so oily  but now I easily an go a day or two.   My face and back were perfectly clear.
nasonex,Effective,"Able to breath at night, less sneezing. I woke up with less nasal stufiness and felt clear headed. I also appreciated the moisturizing glycerin in Nasonex. I have a extremely dry nasal mucosa so there was definitely a benefit to that."
fortaz,Effective,"got rid of the uti, however, it took longer than d-mannose a non-prescription otc natural sugar which also had no side-effects"
singulair,Not Effective,"There were no benefits, only bad side effects in that the drug significantly worsened my ability to breath."
xyrem,Effective,"While taking Xyrem, I slept exceptionally well at night, woke up rested, and strangely, within months of starting the medication, lost fifteen or more pounds."
provigil,Not Effective,"When I started first taking it it was great. I would get up in the am no brain fog, and could work the whole day not being tired. By night time though I was exhausted. After a month or so I still get up early but by afternoon I am so tired I usually try to take a nap or just keep going and eventually it will get better. I have not tried taking another in the afternoon. I have tried to up the dose in the am with no difference."
xanax,Effective,"The medicine keeps me calm under all circumstances, and helps me to sleep at night. I used to have panic attacks at times before I began using this medicine. Now the panic attacks are few and far between. Although I do not like to drive while taking the medicine, if I must I can with no problems. In social situations I am much more myself and can relax and have fun. I have had 3 mini-strokes. Since I began treatment with Xanax I have not had a single episode."
lexapro,Effective,"Before Lexapro I was so depressed I could not function. I forced myself to work, and would come home exhausted. I had suicidal ideation and severe anxiety. I had ""bouts"" of depression before, but was never treated. My separation and death of my Mother and loss of my job in one years time pushed me past what I could get myself out of. I was irritable, unsociable, had no desire to eat (lost 50 lbs that I could stand to lose in 6 months), cried all the time. I started Lexapro 3 months ago, almost 4. I began at 10 mg and it was upped to 20 mg. I feel like I am starting to have my life back. I laugh again (genuinely). I can get up for work, I can socialize. I still have days where I feel like crying and am very scared.. but it passes quickly. I have almost regained my general sense of optimism again. (I was always happy go lucky). I have NO ideation anymore.Lexapro is giving me my life back. It is like someone cleaned a really dirty window. I can see things more clearly now and do not ruminate as much as I did or have guilt feelings that are inappropriate. It saved my life."
zoloft,Not Effective,"Moderate lifting of depressive episode, made it so I could function better in everyday life."
differin,Effective,"The patient saw effective acne control within 4 weeks.  She still had occasional acne lesions but saw clearing of most of the comedones.  Because there were few new acne lesions, the hyperpigmentation she got along with the acne was not happening, and the hydroquinone helped to clear the hyperpigmentation she already had.  At four weeks, her skin tone was even."
zyban,Effective,"I stopped smoking after one week of starting the treatment. I never picked up another cigarette. The cravings for the sensation of smoking, as well as the craving for nicotine were short and sharp, and lessened within a short period of time. I was able to sit with another smoker and not smoke ( or want to smoke) within one and a half weeks of stopping. Incidently I lost 4 - 5 Kgs within 4 weeks of taking the drug."
anafranil,Effective,"Over time, this drug caused a massive reduction in my OCD hand washing rituals. I also no longer had to avoid public places for fear of germs.  Furthermore, clomipramine caused an immediate decrease in day to day anxiety and worry."
nuvaring,Effective,"THE NUVARING HAS PROVEN TO BE VERY EFFECTIVE FOR ME. I HAVE HAD A LOT OF PROBLEMS WITH BIRTH CONTROL THROUGHOUT MY LIFE. HAVING TRIED MANY IF NOT ALL POSSIBLE  BIRTH CONTROL TREATMENTS, I BELIEVE THIS IS THE ONE THAT WORKS THE BEST FOR ME. IT IS PRACTICAL AND VERY FEW SIDE EFFECTS WHEN COMPARED TO THE ORAL CONTRACEPTIVES, IUDs OR  INJECTIONS."
serzone,Effective,"Had generalized anxiety daily prior to treatment, and panic attacks that impaired ability to function normally and quality of life in general. Medication did not completely eliminate feelings of anxiety, but did a great job of reducing them. Taking the medication Serzone, made it possible to rely on the medication xanax less and less, to the point only had to take it seldom as needed."
propecia,Not Effective,preventing further hair loss
protonix,Effective,Effectively controlled acid reflux.  Before treatment patient had severe acid reflux which was not controlled by other medications.  After trying many other drugs the patient was prescribed protonix and it worked very effectively.  The patient was then able to eat regular meals with no ill effects.
mirapex,Effective,"First treatment in 50 years that helped the constant but elusive pain in my nervous system, causing me to sleep an hour or two at a time at best.  The pain is 100% gone when I take the mirapex ... back when I do not."
dexamethasone,Not Effective,"marginal, not sure if recovrey was from the drug or from the infection running it's course."
renova,Not Effective,Wrinles seemed less defined
toradol,Not Effective,None. She did an anaphylaxis schock and she did not receive any benefit .
diazepam,Effective,"The drug calmed me down and stopped me from crying constantly.I only took it when absolutely necessary which was a huge benefit, unlike the anti anxiety drugs given out now which you have to take every day for long periods.Valium works instantly and I never had any problems at all with it. I do not understand why it is not given out instead of all these other antidepressants which are readily available and cause huge problems and come with awful side effects."
accutane,Effective,My skin cleared up and my pores shrank significantly. My skin looked flawless. My pores have remained smaller long-term (5+ years post treatment).
zoloft,Effective,relaxed
actiq,Effective,"Without question, Actiq is an extremely effective drug if you are in chronic severe pain and have no responsibilities.  Actiq relaxes the body and the brain becomes numb and able to handle ongoing pain effectively.  It is fast acting in the subcutaneous, ""lollipop"" form and within minutes you are comfortable.
The flavor is also quite pleasant."
doxycycline,Not Effective,Treatment cleared up the infection.
meridia,Effective,I have been taking meridia for the last 6 weeks and have lost 16 lbs.  It has decreased my appetite and I am not thinking about food all the time.  Combined with diet and exercise this has helped me out a lot.
mobic,Not Effective,No impact whatsoever.  It was like I wasn't even taking anything.  The OTC ibuprofen I was taking before my doctor appointment was more effective.
provigil,Effective,"As a medical professional (newly graduated medical student now in first year of residency), I am able to feel more alert and focused during the day even after having been up all night.  As free time is scarce in residency, I am now able to study when I would otherwise be too exhausted to do anything."
ortho-tri-cyclen,Effective,"-Prevented pregnancy perfectly
-Enlarged breasts
-Regulated periods
-Lighter flow during menstrual cycle
-Cleared skin for (moderate) acne"
tegretol,Effective,i no longer had seizures. i was having a seizure everytime i ate food. my sizure responce was food.
zestoretic,Effective,"After trying a variety of high blood pressure medicines my doctor prescribed Zestoretic.  Zestoretic lowered my blood pressure to acceptable levels of 100/70 from 130/90.  The difference between this medicine and prior ones seems to be the diuretic.  After experiencing the positive benefits of the diuretic I began watching my sodium intake.  I avoid any food that contains 900 or over mgs of sodium per serving.  This pretty much eliminates most canned soups, dry packaged side dishes and frozen foods.  After 16 months of watching my sodium intake I have become much more sensitive to sodium and no longer use table salt"
malarone,Effective,Malaria prevention.  Also patient did not intcounter any mosquito bites.
synthroid,Effective,"I became more active and lost 10 of the 14 pounds I had gained.  I have more energy, and feel like myself again."
zofran,Effective,Completely controlled nausea and vomiting.
elavil,Effective,"I was only sleeping around 5 hrs per night. I felt sleepy ALL the time. I had episodes when my whole body would ache, every joint and muscle. It felt like someone had their hands around my neck, squeezing it until my eyes would pop out"
tazorac,Effective,"marked reduction in hyperpigmented (age) spots, marked reduction in wrinkles around mouth and eyes, skin surface became much smoother and softer.  Truly turned back time.  Visible results within weeks and first 2 months were remarkable, but over the last year, the benefits have continued and areas of brown discoloration I thought would need laser therapy are almost cleared up!  I also had some scar dents that have cleared up and/or mostly gone!"
topamax,Not Effective,The treatment benefits from Topamax did not outweigh the side effects.  There was minimal reduction in vocal tics caused by Tourette Syndrome and significant reduction in appetite that led to weight loss of approx. 20 lbs.
lunesta,Not Effective,NONE
spiriva,Effective,"I used to live on my MDI(combivent). I started maintenance drugs Spiriva and Symbicort and it has changed my world. I, on adverage, dont have to take my MDI at all anymore. I have my days that I have to, living in Texas can be a nightmare of allergies. I can do more activities without feeling so short of breath. I have not had any major side effects yet...Overall after starting Spiriva I'm doing much better. For anyone with Asthma I would suggest they try this drug."
prozac,Not Effective,According to her & what I was able to observe  there was not much benefits to this treatment  .
enbrel,Effective,Little improvement for first week or so but then incredible turnaround. Went from regularly not being able to walk properly due to inflamed sacroiliac joints and general back pain and flu-like aches across whole body most days to a new woman! After 3 months have noticed the last couple of weeks some of the aches and pains starting to come back slightly towards end of the week but overall extremely positive.
atarax,Not Effective,"oh there was benefits, I did not have allergys and my my heart rate was down."
allegra,Effective,"Almost immediate relief of allergy symptoms, freer breathing"
phenergan,Effective,The medication ease the nausea and my stomach was at ease for at more than a week.  The medication relaxed the muscles in my stomach and released the gas trapped.
enalapril,Not Effective,The treatment reulted in significantly lower blood pressure - in total a drop of over 30 points on both the upper and lower readings.
lamictal,Effective,mood stability and two safe preganancies wtih healthy children.
glucophage,Not Effective,helped lower blood sugar
lopressor,Effective,"rapid heart beat stoped, and blood pressure went down."
vivelle-dot,Effective,"I had recently developed hotflashes which were becoming notceably worse.  Very shortly after beginning this drug, my hot flashes stopped.  I am hoping there are other benefits like preserving the integrity of my body, but it may be too soon to tell.  It definitely alleviated the hot flashes, however."
levoxyl,Effective,treatment of low thyroid state and low metabolic state
renova,Effective,Hormonal cysts cleared up and did not recur after 3 years. My lips were rather dry and I had to moisturise them frquently. But the treatment was 100% effective and entirely worthwhile.
flexeril,Not Effective,helped with muscle spasms in my hips. Helped reduce pain from the spasms - particularly good when driving or sitting for a long time.
effexor-xr,Not Effective,"Wasn't as severly depressed as before taking the drug, didn't sleep as much and was able to function normally in a job."
zyban,Not Effective,initally taken to stop smoking and the cravings did go but i still continued to smoke a few a day.
tazorac,Effective,"This drug did, in fact, erradicate the adult acne I'd been plagued with since turning 29.  I didn't have awful acne, but it was persistent."
biaxin,Effective,"Effects on the infection were immediate; felt better in the 
first week of treatment."
augmentin,Not Effective,"Seem to have a bad sinus / nasal infection, now up into ethmoids.  Seemed to start with attempt to drain tear duct, but blocked.  Helping but not kicking it.  They've now changed me to my choice of Omnicef or Levaquin, I chose the Omnicef.  We'll see if it does the trick."
crestor,Not Effective,None
lamictal,Effective,Total seizure control; however occasional auras continue
doxycycline,Effective,fast onset of action.  quicker than a zpak with is erythromycin. for 5 days.  Onset of action is faster and patient starts to feel better in two days versus a week.
alprazolam,Effective,"Helped me be able to leave the house for the first time in months, quickly reduced my anxiety and I didn't have any attacks."
lexapro,Not Effective,I felt less sadness.
vivelle,Not Effective,"Decreased hot flashes, minimal mood swing and axiety."
lexapro,Not Effective,"Taking Lexapro has become a staple in my life.  I come from an extremely depressed family history including suicide in the family and extreme bi-polar disorder in my father.  Without some kind of anti-depressant I literally cannot sleep at night due to low positive brain chemicals causing me to wake every few hours and have a very hard time falling asleep.  Therefore I take 15 mg prophylactically of Lexapro long-term.  I would rather not be on anything at all but unfortunately have tried that in the past without success.  I do think this drug can be very good if it helps you, though it is not a cure all by any means."
biaxin,Effective,"Within the first few days, could tell a dramatic difference in my sinus infection clearing up.  After the full two week dosage, 98% better!"
tequin,Not Effective,"pain relief, frequencey, urgency relief"
zomig,Effective,I have tried many other medications that were useless.  Over the counter as well as other px.  This treatment always works.  The headache subsides in one to two hours.
paxil,Not Effective,overall more at ease mantally was the only true benefit I felt.
citalopram,Effective,"Alleviation of mild depression, effective progressively after 3 weeks of start. Removal of anxiety."
benzaclin,Effective,None
citalopram,Effective,"That I felt able to function.
The dose was perfect for my condition.
Felt more calm and moods much better."
renova,Not Effective,"smoother cheeks, skin, No other benefits."
prilosec,Effective,It reduced the amount of acid that my stomach produced and therefore allowed my stomach and esophagus to heal to some degree. I also took it for years to control my regular acid reflux problems.
levitra,Not Effective,"Had to take an extra 1/2 pill in addition to prescribed dose of 1/2 pill per event, usually night before in order to achieve satisfactory benefit of performance.  Previously used another brand but was discontinued by HMO.  Much depends on regular exercise & regular sleep activities to be effective."
neurontin,Not Effective,"BENRFITS OF TREATMENT: Unsure - My legs ache. I don't remember ever having any real pain, other than an annoying ache in both legs. I feel as though I am walking in wet fishing boots.  There is a buzzing in my legs and feet. It has over the past several years crept up from my ankles to above my knees. With all this I do very well walking a slow pace - sometimes like a drunken Sailor. I walk down 101 stairs  tale a short walk and come back up 2 at a time (slowly) holding onto a rail (now)."
lyrica,Not Effective,None!
elavil,Effective,restful sleep
aloprim,Effective,I would get painful swelling in my feet.  I could not even stand the bed sheet to touch my feet.  One time while on vacation I was swollen up to my knees.  The medication makes my life easier.  I don't have to worry that when I wake up I won't be able to walk around my house.  I rarely have any slight indication that the gout is going to be a problem.
citalopram,Not Effective,I felt that i did not feel any benefits from this drug.
metrogel,Not Effective,Sometimes lessoned redness
wellbutrin-xl,Not Effective,"elevation of mood and clarity of thought.  Progress stalled out at 300 mg, but with increase to 450 mg can tell the difference.  I'm able to finally think and plan ahead and chip away at all the clutter I've not been able to deal with which accumulated while depressed."
chantix,Effective,Loss of the desire to smoke and eventually the cessation of smoking altogether.
prempro,Effective,daily hot flashes and night sweats are much less severe if any at all. sleep is less distrubed and mood swings are much less. i no longer feel enraged when i wake in the morning.  Depression is gone and i feel less tired (probably because i get more sleep).
provigil,Not Effective,none
mobic,Not Effective,"quite effective without the adverse effects of aspirin, naproxin etc.
because of the reported side effects of cox2  meds i take as little as possible to maintain a reletively comfortable exixtence"
lamisil,Effective,"After having tried several over the counter treatments for this condition, this treatment was the only one that effectively treated the condition.  The itching and discoloration began to dissipate after a few days and symptoms were completely gone after two weeks."
valtrex,Not Effective,It definitely reduced the size and severity of the cold sore but now I get the more frequently.  Like twice a month!!
wellbutrin-sr,Effective,"It greatly helped with my depression which was caused by a divorce after 28 years of marriage. 3 months after my separation my Father died and my Mother became very angry and unresponsive with me.When I started taking this medication I was able to focus better at work and at home I was able to effectively deal with my emotions, I also experienced an increase in my libido. I am still currently taking the generic form of Wellbutrin SR (Bupropion)."
retin-a,Not Effective,"I saw almost no benefits to this treatment with re: acne, though possibly there was exfoliation or collagen benefit. I believe it exacerbated my acne. On the mornings after the nights I used the cream, my acne seemed to come out much worse (particularly on the chin & jaw area where the condition was the worst)."
neurontin,Not Effective,"at the highest dosage, the generic, gabapentin, seemingly reduced nerve pain resulting from Peripheral Neuropathy following surgery to remove neuromas in both feet (although it is a very subjective pain, which is affected by other factors: tension, sitting for prolonged periods, etc.)"
lorazepam,Effective,"i could control my panic and knew i could. therefore, just having lorazepam with me was often enough. over the years, my attacks diminished, first in severity, then in quantity."
vivelle-dot,Effective,"The treatment benefits was estrogen replacement.  This estrogen patch system significatly reduced my headaches.  Estrogen is not processed through the liver when delivered via a patch, therefore reducing hormone induced migrains.  I felt normal for the first time in years after my hysterectomy.  I love this medication."
lexapro,Not Effective,My obsessive thoughts completely disappeared. This was a huge relief because before that I was comparing myself to others 24/7. I was able to handle stressful situations calmly. Nothing could make me upset.
relafen,Not Effective,"The only benefit I received from this drug was the ability to get through my day without experiencing unbearable pain. My sciatica was not a condition that flared up continually; rather, it came approximately 4-6 times per month."
yasmin,Effective,"I've been on yasmin four years now, it works so great! I have no side effects, just nausea if I take two at a time and that is hardly ever.  But my acne completely went away and no pregnancy the whole time I've been on it! Would definently recommend to anybody."
klonopin,Not Effective,None.  I went from 140lbs down to 98lbs.  I did have reoccuring episodes (TIA like - diagnosed as TIA for lack of conclusive evidence or further investigation)  I now believe it was mostly stress and menopause related issues.
tri-luma,Not Effective,"slight lightening of dark spots. there was really no benefit beyond this.  seems like a waste of time and in fact, just regularly applying sunscreen seems to do a better job of lightening the spots"
mirapex,Effective,"My legs used to jump pretty badly and so did my arms every night about 60 times per hour, that's once a minute.  Sometimes it would wake me up and other times I didn't even know I was doing it, but the doctor told me that it was still disturbing my sleep.  While taking this drug, my legs and arms only jumped about 3 times in a 6 hr period.  All documented on sleep studies."
vyvanse,Effective,Helps with concentration and staying focused. Helps to keep me from being hyperactive and fidgety and helps with memory to an extent.
provigil,Not Effective,"I couldn't tolerate the side effects, so I was unable to experience the benefits."
aldara,Not Effective,aldara was used on several areas on my face where i had scar revision surgery to help heal surgical wound on face.  It was prescribed by my doctor to speed up healing.
xenical,Not Effective,"The treatment benefits was a minimal weight loss, but not nearly as much as I expected."
